"norm_estimate"	"norm_std.error"	"norm_statistic"	"norm_df"	"norm_p.value"	"norm_conf.low"	"norm_conf.high"	"norm_true"	"norm_cov"	"norm_bias"	"norm_width"	"rf_estimate"	"rf_std.error"	"rf_statistic"	"rf_df"	"rf_p.value"	"rf_conf.low"	"rf_conf.high"	"rf_true"	"rf_cov"	"rf_bias"	"rf_width"	"cart_estimate"	"cart_std.error"	"cart_statistic"	"cart_df"	"cart_p.value"	"cart_conf.low"	"cart_conf.high"	"cart_true"	"cart_cov"	"cart_bias"	"cart_width"	"xgb_estimate"	"xgb_std.error"	"xgb_statistic"	"xgb_df"	"xgb_p.value"	"xgb_conf.low"	"xgb_conf.high"	"xgb_true"	"xgb_cov"	"xgb_bias"	"xgb_width"	"xgbParam_estimate"	"xgbParam_std.error"	"xgbParam_statistic"	"xgbParam_df"	"xgbParam_p.value"	"xgbParam_conf.low"	"xgbParam_conf.high"	"xgbParam_true"	"xgbParam_cov"	"xgbParam_bias"	"xgbParam_width"	"mixgb_estimate"	"mixgb_std.error"	"mixgb_statistic"	"mixgb_df"	"mixgb_p.value"	"mixgb_conf.low"	"mixgb_conf.high"	"mixgb_true"	"mixgb_cov"	"mixgb_bias"	"mixgb_width"
"(Intercept)"	-0.0804958631535979	0.3107849425913	-0.255010768458901	184.029885713634	0.621834451366391	-0.709091570625801	0.548099844318605	0	1	-0.0804958631535979	1.25719141494441	0.181306083221493	0.560761729554382	0.273223399507167	11.7808366658498	0.600339535552157	-1.06206022638609	1.42467239282908	0	1	0.181306083221493	2.48673261921518	0.0523382169891294	0.411464388560567	0.0119716408207429	29.7938907020423	0.547563022539527	-0.815260166034538	0.919936600012797	0	1	0.0523382169891294	1.73519676604734	0.0053269997298991	0.273462816396067	0.0361351629441982	291.004745030058	0.636201667226171	-0.534379432643135	0.545033432102933	0	1	0.0053269997298991	1.07941286474607	0.158905216127836	0.364599132421722	0.387808446960928	646.713523100624	0.245220288339038	-0.55725073576655	0.875061168022223	0	0.666666666666667	0.158905216127836	1.43231190378877	0.247709822425071	0.398341160767038	0.507340649009203	117.776998709771	0.395828569824254	-0.587502541507404	1.08292218635755	0	1	0.247709822425071	1.67042472786495
"x"	5.99710232237064	0.0482629884388053	126.267470166369	350.861640230036	4.61674238916519e-27	5.8996207556216	6.09458388911969	6	1	-0.00289767762935611	0.194963133498094	5.96320229039895	0.0859407659514248	70.4143179455177	14.034174895741	8.10395251719193e-14	5.77426330838647	6.15214127241144	6	1	-0.0367977096010466	0.377877964024975	5.99283408025396	0.0635734224153738	96.7621250641212	30.9074770950016	4.49902169111164e-17	5.85982894146087	6.12583921904705	6	1	-0.00716591974603986	0.266010277586188	5.97596285713488	0.0430091888522317	139.131541297548	352.197061805492	1.80670808743624e-135	5.8911507548353	6.06077495943445	6	1	-0.0240371428651246	0.169624204599154	5.95825537351364	0.0580798868003735	102.713523878123	633.617643753959	3.78574955409991e-289	5.84416989595762	6.07234085106967	6	0.666666666666667	-0.0417446264863598	0.228170955112051	5.95538895607623	0.0610923053559962	103.421706947668	182.03081139332	1.50167994307675e-17	5.82861001323814	6.08216789891431	6	1	-0.0446110439237731	0.253557885676171
"z"	2.98619178851533	0.0450995702432875	66.4388411167938	310.919270430929	1.31888962436737e-57	2.89697946682391	3.07540411020674	3	1	-0.0138082114846734	0.178424643382835	2.98847313494404	0.0858880946034013	34.8823433589224	11.69660030209	4.1509202341114e-11	2.79979099365331	3.17715527623476	3	1	-0.0115268650559641	0.377364282581443	2.94949884759098	0.0543216262991354	54.7738265168411	224.293323014362	8.7217391977626e-34	2.8408277700378	3.05816992514415	3	1	-0.0505011524090245	0.217342155106354	3.01413027975364	0.042911050594124	70.564002689124	585.806525139099	1.19412124535825e-58	2.92933208379912	3.09892847570815	3	1	0.0141302797536372	0.169596391909034	3.01157982737169	0.0578109276064311	52.2612337456669	759.736167474938	3.98804150401177e-185	2.89807325927094	3.12508639547245	3	0.666666666666667	0.0115798273716941	0.227013136201509	2.98895479359718	0.0526621057048436	57.728902809568	272.722471909941	9.95213551808507e-70	2.88479528461196	3.09311430258241	3	1	-0.0110452064028155	0.208319017970455
"(Intercept)1"	-0.182469244642275	0.347512164049327	-0.502731565490195	27.0809373966102	0.621609201164751	-0.900892705185226	0.535954215900675	0	1	-0.182469244642275	1.4368469210859	0.45467611576072	0.532656912725434	0.726236579846035	100.322619423642	0.542179043857321	-0.685782485893285	1.59513471741473	0	1	0.45467611576072	2.28091720330801	0.329982972989406	0.525022180902648	0.435848904533524	25.8807715431831	0.373960456809175	-0.84390878056173	1.50387472654054	0	1	0.329982972989406	2.34778350710227	-0.0389934363501991	0.322392539398619	-0.245231785478058	92.9114136458829	0.539322973480604	-0.711784942628862	0.633798069928464	0	1	-0.0389934363501991	1.34558301255733	-0.300469406804296	0.416819150822037	-0.648132789716511	99.5146933802663	0.0803462846519599	-1.12768533702927	0.526746523420682	0	0.333333333333333	-0.300469406804296	1.65443186044996	0.259857202362343	0.361818284594623	0.664872017466545	49.2246699372016	0.42561956607655	-0.468099844071056	0.987814248795741	0	1	0.259857202362343	1.4559140928668
"x1"	6.01179305799207	0.0527717246694762	114.29700239507	33.8482535740603	4.69570287301405e-30	5.90398043791836	6.11960567806579	6	1	0.0117930579920718	0.215625240147428	5.96177145391027	0.0863497924746565	73.0723511552784	276.158437593444	2.15692669634436e-12	5.77538884858078	6.14815405923975	6	1	-0.0382285460897318	0.372765210658969	5.97058989360723	0.0828448877017808	79.7361974151008	24.9996871242221	1.55408218999777e-09	5.7855725595834	6.15560722763107	6	1	-0.0294101063927658	0.370034668047677	5.99121019274303	0.0515846858208268	119.418567868476	56.9263828916587	9.79929647057229e-17	5.88322749029609	6.09919289518997	6	1	-0.00878980725696958	0.215965404893881	6.06171004296256	0.0650327312989126	93.3595394094847	196.207045049927	1.47370755063911e-86	5.93320366752451	6.19021641840061	6	0.333333333333333	0.0617100429625606	0.257012750876096	5.94958859828249	0.0559230369571195	106.802422325553	67.1062345753741	2.56258366592971e-60	5.83783180029779	6.0613453962672	6	1	-0.0504114017175083	0.223513595969408
"z1"	2.97981052578405	0.0500591098199646	59.7248492281375	53.9617792007338	1.0044352067974e-29	2.87887980321963	3.08074124834848	3	1	-0.0201894742159454	0.201861445128846	2.88501828480785	0.0972865371836512	30.6184048019183	14.709037825529	2.33953973827841e-08	2.66885663232557	3.10117993729014	3	1	-0.114981715192146	0.432323304964572	2.90326348976644	0.0747675779680287	39.34149456264	17.602432870019	3.03786727807849e-14	2.74363689484317	3.06289008468971	3	0.666666666666667	-0.0967365102335573	0.319253189846536	2.98206747479394	0.0444634268103525	67.2543230804498	179.143718768006	1.10459341627437e-35	2.89323258729009	3.07090236229778	3	1	-0.0179325252060645	0.177669775007685	2.8789057838227	0.0648128920266761	44.4381935883709	215.842745490389	4.77662803130713e-90	2.75105355269323	3.00675801495216	3	0.666666666666667	-0.121094216177305	0.255704462258924	2.99712571793994	0.052732354809245	56.8689690258427	267.952248101005	3.48685694696028e-65	2.89288197545579	3.10136946042409	3	0.666666666666667	-0.00287428206006076	0.208487484968292
"(Intercept)2"	-0.158549333932515	0.319542837997198	-0.407590843978815	48.2676082330939	0.473048369908787	-0.804083598399694	0.486984930534664	0	0.666666666666667	-0.158549333932515	1.29106852893436	0.929997155297581	0.67826846120934	1.23396617228346	13.078188975056	0.444611162559301	-0.567986691812544	2.42798100240771	0	0.666666666666667	0.929997155297581	2.99596769422025	0.378186510852214	0.623237025227398	0.414045049201162	13.3563202126774	0.321639329793358	-1.06403718333182	1.82041020503625	0	1	0.378186510852214	2.88444738836807	0.046372042709148	0.332048087494882	-0.0831240927041641	126.359002052095	0.351618108032759	-0.653344792440639	0.746088877858935	0	1	0.046372042709148	1.39943367029957	-0.314840493505852	0.417424112920701	-0.713558559144289	374.21415612991	0.391139160445056	-1.13867246610381	0.508991479092103	0	0.666666666666667	-0.314840493505852	1.64766394519591	1.79735756483916	0.471991968795382	3.74877032077898	268.908247145085	0.0221118834978347	0.805244197705623	2.78947093197269	0	0.333333333333333	1.79735756483916	1.98422673426707
"x2"	6.01484460295606	0.0520125594868023	116.102827650633	33.7609058425339	3.39539915627949e-37	5.90889668583081	6.1207925200813	6	1	0.0148446029560567	0.21189583425049	5.89587250913386	0.111720796778901	55.9595066214219	18.9493425661185	1.26515763931033e-10	5.64513213729423	6.14661288097349	6	1	-0.10412749086614	0.501480743679254	5.990648746074	0.0926514782643495	71.335659246868	16.4889216178737	4.00162776150121e-09	5.78036545914902	6.20093203299898	6	1	-0.00935125392599841	0.420566573849962	5.98072152582543	0.0501068188509048	122.432670949257	67.2120069281514	5.11193472035777e-20	5.8769667554085	6.08447629624235	6	1	-0.0192784741745724	0.207509540833853	6.0754259040519	0.0690150071219815	89.1675809372926	280.328930577897	1.86306172675072e-54	5.93857321340128	6.21227859470252	6	0.666666666666667	0.0754259040519025	0.273705381301243	5.70986717922847	0.0715262092767132	82.2395247550832	76.9278469026412	1.10503161743761e-18	5.56313880165326	5.85659555680369	6	0	-0.290132820771529	0.293456755150431
"z2"	2.95877369298313	0.0549217288869965	55.0358847190774	33.1711640594626	1.1351563429917e-14	2.84423794827923	3.07330943768703	3	1	-0.0412263070168695	0.229071489407795	2.89573609210658	0.125512073794754	25.8059344857965	37.9714144297571	5.65117868118406e-07	2.60207282913637	3.18939935507678	3	0.666666666666667	-0.104263907893425	0.587326525940418	2.82339930468417	0.0797655663221396	35.7013177087866	25.1586838706792	6.97068692002676e-12	2.65131345211903	2.99548515724931	3	0.333333333333333	-0.176600695315829	0.344171705130274	2.97813062500062	0.0558536114877974	54.2822898543656	21.5754886588836	1.07076501839017e-14	2.858761449904	3.09749980009724	3	1	-0.0218693749993761	0.238738350193242	2.84265754140187	0.0687918196500952	41.561414280152	260.796710914736	3.41229206300024e-52	2.70665120669175	2.97866387611199	3	0.333333333333333	-0.157342458598129	0.272012669420238	3.11124242148347	0.0764102023263578	42.1493939096607	37.0777761915977	6.11370087504457e-14	2.95232658343098	3.27015825953596	3	1	0.111242421483468	0.317831676104974
