"norm_estimate"	"norm_std.error"	"norm_statistic"	"norm_df"	"norm_p.value"	"norm_conf.low"	"norm_conf.high"	"norm_true"	"norm_cov"	"norm_bias"	"norm_width"
"(Intercept)"	-0.00701521491948562	0.391627877150186	-0.0185066933359774	38.5086960335464	0.48722842538364	-0.845616742792425	0.831586312953453	0	0.941	-0.00701521491948562	1.67720305574588
"x"	6.00076447959277	0.0621585280151459	100.075362103277	36.9152765806197	6.10445703305463e-11	5.86754811135223	6.13398084783334	6	0.967	0.000764479592779693	0.266432736481119
"z"	2.99891002978168	0.0613462263001782	50.6601635609843	41.352353423825	2.45361671410189e-09	2.86795726283333	3.12986279673004	3	0.947	-0.00108997021831743	0.261905533896718
