"norm_estimate"	"norm_std.error"	"norm_statistic"	"norm_df"	"norm_p.value"	"norm_conf.low"	"norm_conf.high"	"norm_true"	"norm_cov"	"norm_bias"	"norm_width"	"rf_estimate"	"rf_std.error"	"rf_statistic"	"rf_df"	"rf_p.value"	"rf_conf.low"	"rf_conf.high"	"rf_true"	"rf_cov"	"rf_bias"	"rf_width"	"cart_estimate"	"cart_std.error"	"cart_statistic"	"cart_df"	"cart_p.value"	"cart_conf.low"	"cart_conf.high"	"cart_true"	"cart_cov"	"cart_bias"	"cart_width"	"xgb_estimate"	"xgb_std.error"	"xgb_statistic"	"xgb_df"	"xgb_p.value"	"xgb_conf.low"	"xgb_conf.high"	"xgb_true"	"xgb_cov"	"xgb_bias"	"xgb_width"	"xgbParam_estimate"	"xgbParam_std.error"	"xgbParam_statistic"	"xgbParam_df"	"xgbParam_p.value"	"xgbParam_conf.low"	"xgbParam_conf.high"	"xgbParam_true"	"xgbParam_cov"	"xgbParam_bias"	"xgbParam_width"	"mixgb_estimate"	"mixgb_std.error"	"mixgb_statistic"	"mixgb_df"	"mixgb_p.value"	"mixgb_conf.low"	"mixgb_conf.high"	"mixgb_true"	"mixgb_cov"	"mixgb_bias"	"mixgb_width"
"(Intercept)"	-0.0804958631535979	0.3107849425913	-0.255010768458901	184.029885713634	0.621834451366391	-0.709091570625801	0.548099844318605	0	1	-0.0804958631535979	1.25719141494441	0.181306083221493	0.560761729554382	0.273223399507167	11.7808366658498	0.600339535552157	-1.06206022638609	1.42467239282908	0	1	0.181306083221493	2.48673261921518	0.0523382169891294	0.411464388560567	0.0119716408207429	29.7938907020423	0.547563022539527	-0.815260166034538	0.919936600012797	0	1	0.0523382169891294	1.73519676604734	0.0053269997298991	0.273462816396067	0.0361351629441982	291.004745030058	0.636201667226171	-0.534379432643135	0.545033432102933	0	1	0.0053269997298991	1.07941286474607	0.158905216127836	0.364599132421722	0.387808446960928	646.713523100624	0.245220288339038	-0.55725073576655	0.875061168022223	0	0.666666666666667	0.158905216127836	1.43231190378877	0.247709822425071	0.398341160767038	0.507340649009203	117.776998709771	0.395828569824254	-0.587502541507404	1.08292218635755	0	1	0.247709822425071	1.67042472786495
"x"	5.99710232237064	0.0482629884388053	126.267470166369	350.861640230036	4.61674238916519e-27	5.8996207556216	6.09458388911969	6	1	-0.00289767762935611	0.194963133498094	5.96320229039895	0.0859407659514248	70.4143179455177	14.034174895741	8.10395251719193e-14	5.77426330838647	6.15214127241144	6	1	-0.0367977096010466	0.377877964024975	5.99283408025396	0.0635734224153738	96.7621250641212	30.9074770950016	4.49902169111164e-17	5.85982894146087	6.12583921904705	6	1	-0.00716591974603986	0.266010277586188	5.97596285713488	0.0430091888522317	139.131541297548	352.197061805492	1.80670808743624e-135	5.8911507548353	6.06077495943445	6	1	-0.0240371428651246	0.169624204599154	5.95825537351364	0.0580798868003735	102.713523878123	633.617643753959	3.78574955409991e-289	5.84416989595762	6.07234085106967	6	0.666666666666667	-0.0417446264863598	0.228170955112051	5.95538895607623	0.0610923053559962	103.421706947668	182.03081139332	1.50167994307675e-17	5.82861001323814	6.08216789891431	6	1	-0.0446110439237731	0.253557885676171
"z"	2.98619178851533	0.0450995702432875	66.4388411167938	310.919270430929	1.31888962436737e-57	2.89697946682391	3.07540411020674	3	1	-0.0138082114846734	0.178424643382835	2.98847313494404	0.0858880946034013	34.8823433589224	11.69660030209	4.1509202341114e-11	2.79979099365331	3.17715527623476	3	1	-0.0115268650559641	0.377364282581443	2.94949884759098	0.0543216262991354	54.7738265168411	224.293323014362	8.7217391977626e-34	2.8408277700378	3.05816992514415	3	1	-0.0505011524090245	0.217342155106354	3.01413027975364	0.042911050594124	70.564002689124	585.806525139099	1.19412124535825e-58	2.92933208379912	3.09892847570815	3	1	0.0141302797536372	0.169596391909034	3.01157982737169	0.0578109276064311	52.2612337456669	759.736167474938	3.98804150401177e-185	2.89807325927094	3.12508639547245	3	0.666666666666667	0.0115798273716941	0.227013136201509	2.98895479359718	0.0526621057048436	57.728902809568	272.722471909941	9.95213551808507e-70	2.88479528461196	3.09311430258241	3	1	-0.0110452064028155	0.208319017970455
